,isbn,nr_reviews,average_rating,nr_tokens,nr_sentences,positive,negative,compound,average_tokens
0,9780062356345,12,4.5,977,67,0.04708290685772774,0.032753326509723645,0.005343295803480039,81.41666666666667
1,9780062434029,8,4.625,330,18,0.08181818181818182,0.01818181818181818,0.02791060606060606,41.25
2,9780062667632,36,2.4166666666666665,3800,221,0.04,0.03368421052631579,0.0037302105263157894,105.55555555555556
3,9780062671189,8,4.375,1052,54,0.05228136882129278,0.019961977186311788,0.015109220532319391,131.5
4,9780062834843,45,3.7777777777777777,3143,187,0.05917912822144448,0.03149856824689787,0.010964174355711105,69.84444444444445
5,9780062858108,7,4.428571428571429,870,48,0.052873563218390804,0.0367816091954023,0.005606436781609197,124.28571428571429
6,9780062868930,49,4.040816326530612,2663,191,0.07472775065715359,0.01877581674802854,0.023533909125046944,54.3469387755102
7,9780062892898,14,4.071428571428571,1553,73,0.05795235028976175,0.027688345138441726,0.012674372182871863,110.92857142857143
8,9780062913265,19,4.2631578947368425,2309,127,0.04417496751840624,0.03334776959722824,0.0036627977479428324,121.52631578947368
9,9780062941503,23,4.217391304347826,3354,175,0.05158020274299344,0.03369111508646393,0.006889534883720931,145.82608695652175
10,9780062955456,11,3.909090909090909,771,49,0.07003891050583658,0.029831387808041506,0.01564033722438392,70.0909090909091
11,9780062963673,60,4.183333333333334,3143,226,0.0801781737193764,0.019090041361756283,0.027721635380209993,52.38333333333333
12,9780316418188,8,4.25,589,32,0.06960950764006792,0.013582342954159592,0.025012224108658748,73.625
13,9780316420044,34,4.235294117647059,1966,128,0.07121057985757884,0.021363173957273652,0.02204175991861648,57.8235294117647
14,9780316420259,25,4.68,502,44,0.06772908366533864,0.017928286852589643,0.023746812749003983,20.08
15,9780316420280,18,4.722222222222222,350,37,0.08285714285714285,0.017142857142857144,0.034957714285714286,19.444444444444443
16,9780316420327,21,3.857142857142857,890,57,0.06292134831460675,0.02359550561797753,0.017913033707865168,42.38095238095238
17,9780316420334,6,4.5,87,13,0.11494252873563218,0.011494252873563218,0.05488390804597701,14.5
18,9780316428163,7,4.428571428571429,371,35,0.07816711590296496,0.018867924528301886,0.02944204851752022,53.0
19,9780316435581,14,4.142857142857143,1157,73,0.056179775280898875,0.029386343993085567,0.016291961970613656,82.64285714285714
20,9780316457422,15,4.466666666666667,482,43,0.06846473029045644,0.026970954356846474,0.017370954356846473,32.13333333333333
21,9780316485623,63,3.984126984126984,4059,262,0.0625769894062577,0.030795762503079575,0.011399457994579946,64.42857142857143
