,isbn,average_rating,ratings_count,text_reviews_count,nr_tokens,nr_sentences,downloaded_reviews,average_tokens,positive,negative,compound
0,9780525429760,4.23,99086,13268,14475,708,48,301.5625,0.05231689119170985,0.022590673575129533,0.01263003799654578
1,9781250207234,4.43,9966,1138,9958,520,49,203.22448979591837,0.05056798553926491,0.029423579031934124,0.008107953404298015
2,9781982151683,4.01,3902,658,15851,693,66,240.16666666666666,0.04479212667970475,0.034319601286985045,0.0027608037347801343
3,9780399590917,3.83,35922,5036,16842,789,56,300.75,0.05496182163638523,0.022147013418833867,0.014016221351383468
4,9780525657606,4.20,9960,1746,18437,831,47,392.27659574468083,0.04597141617399794,0.03395899549818301,0.0049196940933991205
5,9781250313225,4.29,55533,10104,23526,1088,66,356.45454545454544,0.0504238289551985,0.03431174020232934,0.006924083992178877
6,9781524733452,4.03,1357,288,9601,448,64,150.015625,0.056348297052390375,0.029684407874179773,0.011219414644307852
7,9780525541905,3.79,2493,197,17116,776,60,285.26666666666665,0.05749006777284412,0.02623276466464127,0.013939699696190749
8,9780440001553,4.43,20249,1774,11440,553,48,238.33333333333334,0.0652972027972028,0.02631118881118881,0.016678776223776216
9,9780385546270,3.33,650,58,14826,641,66,224.63636363636363,0.06537117226493996,0.030123296910832324,0.017550674490759515
10,9780778310174,3.53,34261,3367,13872,669,67,207.044776119403,0.043396770472895044,0.03205781430219146,0.004475266724336779
11,9780593128480,3.97,135112,18814,29014,1219,64,453.34375,0.052479044599159023,0.03286585786172193,0.008242220996760202
12,9780316539425,4.19,8234,1215,14884,663,58,256.62068965517244,0.050330959419510886,0.03659930126310132,0.003139700349368434
13,9780525658658,3.76,13364,2364,13102,597,52,251.96153846153845,0.04579453518546787,0.034163333842161504,0.0029665470920470127
14,9780525536291,4.14,111,10,19026,837,63,302.0,0.0488713339640492,0.0235467255334805,0.010571381267738888
15,9781250256928,3.90,18740,1822,9019,484,65,138.75384615384615,0.06201197472003549,0.020512251912628895,0.019548187160439077
16,9781496718891,3.72,1272,277,13419,756,55,243.98181818181817,0.04627766599597585,0.03137342573962292,0.006028713018853824
17,9780525620785,3.67,781,98,17255,817,57,302.719298245614,0.055661663286004054,0.03759032164589974,0.007473294697189197
18,9780765326386,4.62,104770,8239,48808,2204,63,774.7301587301587,0.05167173414194394,0.029683719881986554,0.009076182183248627
19,9781982137335,3.81,111656,9003,18189,927,64,284.203125,0.04798548573313541,0.035163670350211666,0.005268409478256067
20,9780399181368,4.14,818,240,11054,585,61,181.21311475409837,0.06721548760629636,0.029039261805681203,0.01801313551655509
21,9780593157688,4.26,670,71,16754,778,62,270.2258064516129,0.05554285543750746,0.031813298316819866,0.009405485257251987
22,9780593099834,4.40,797,142,17969,847,66,272.25757575757575,0.06240402916133342,0.027737381045133284,0.01576966442206027
23,9781984818751,3.76,914,292,10748,596,56,191.92857142857142,0.06996650539635281,0.020655005582433942,0.021395636397469303
24,9780399181894,3.08,41209,3524,9097,457,60,151.61666666666667,0.058370891502693194,0.027977684951082774,0.013465757942178693
25,9780399593543,3.96,17133,2373,13060,657,56,233.21428571428572,0.043644716692189896,0.035834609494640124,0.0020080551301684554
26,9780525658696,3.73,17225,2002,12716,545,45,282.5777777777778,0.048678829820698336,0.037275872916011324,0.0041495989304812745
27,9781982164553,2.66,7992,1530,11823,504,35,337.8,0.03674659561870929,0.022075615326059377,0.0056003552397868375
28,9780525658184,4.11,893,76,22102,966,58,381.0689655172414,0.047485747896117994,0.03151357343226857,0.006373255813953476
29,9780316499019,3.96,55637,7414,18793,853,56,335.5892857142857,0.04642111424466557,0.038096950992390785,0.0033855637737455384
30,9781984804433,3.98,4900,794,21270,1061,69,308.2608695652174,0.0461212976022567,0.03690644099670898,0.0036351716031969637
31,9780735216723,4.17,51279,7170,13148,617,58,226.68965517241378,0.057228247642226955,0.026712655917249768,0.013732567690903563
32,9781982154837,4.04,1528,199,11100,615,61,181.9672131147541,0.06101792792792793,0.023346846846846844,0.015843360360360357
33,9780778369110,3.75,4860,966,18294,912,67,273.04477611940297,0.048324751284574176,0.03824778615939652,0.0019128621405925255
34,9780385541213,3.85,155397,28289,26333,1367,64,411.453125,0.051932783959290615,0.02255960202027874,0.014259985569437647
35,9781982137441,3.79,415846,37524,18573,984,62,299.56451612903226,0.06767899639261293,0.024269746406073333,0.019097722500403886
36,9781250762849,3.79,46469,7575,29333,1343,57,514.6140350877193,0.045697848839191355,0.02724630961715474,0.008460699553404052
37,9780385543781,4.19,2249,177,18188,799,51,356.62745098039215,0.049043325269408404,0.024906531779195072,0.009450538816802329
38,9780525522539,4.26,673,99,8976,433,65,138.09230769230768,0.05465686274509804,0.023507130124777183,0.013947181372548963
39,9780358164081,3.60,14965,2391,28351,1254,60,472.51666666666665,0.05443077845578639,0.03146273500052908,0.009495848470953448
40,9781982100599,3.55,925,142,10632,494,35,303.77142857142854,0.06003893905191873,0.029952031602708803,0.012432966516177533
41,9781101986936,3.81,1078,175,21359,784,54,395.537037037037,0.04288590289807575,0.022379324874760055,0.007708277541083375
42,9781982137977,3.99,3532,465,20696,951,44,470.3636363636364,0.05089191148047932,0.024014302280633937,0.0122407566679552
43,9781524746360,3.88,27723,3920,12327,669,59,208.9322033898305,0.05246020929666586,0.032286850004056136,0.008477561450474552
44,9780316435581,3.94,68879,4940,6427,383,60,107.11666666666666,0.06472693325035009,0.023490275400653494,0.0204417924381515
45,9781538728574,3.90,61344,4902,10364,490,54,191.92592592592592,0.05949276341181011,0.023585102277113086,0.01704650714010035
46,9780374279301,3.86,6950,1412,21241,906,52,408.4807692307692,0.05101676003954616,0.029989171884562873,0.010096228991102135
47,9780316418188,4.04,9673,971,5231,321,72,72.65277777777777,0.05906021793156183,0.02899789715159625,0.011986255018160932
48,9781250140302,3.98,4587,509,9572,409,59,162.23728813559322,0.046803175929795236,0.02737150020894275,0.008301170079398233
49,9780374194321,3.52,74232,9938,23100,1019,67,344.7761194029851,0.050865800865800864,0.03103896103896104,0.007941891774891786
50,9780316509848,3.87,3570,550,20639,927,61,338.344262295082,0.051407480982605745,0.028635108290130336,0.008736988226173782
51,9780062834843,4.16,3292,516,11783,546,56,210.41071428571428,0.04837477722142069,0.03063735890689977,0.0057617839259950674
52,9780805096606,4.39,17062,2952,14894,545,44,338.5,0.043238888142876325,0.02343225459916745,0.008654135893648423
53,9780593098912,4.46,258,40,9537,538,75,127.16,0.05651672433679354,0.03166614239278599,0.009368962986263985
54,9780316420259,4.28,2033,214,9398,493,60,156.63333333333333,0.047244094488188976,0.03019323260268142,0.005094967014258332
55,9780316539555,4.23,15353,1133,6393,377,66,96.86363636363636,0.05452557484748944,0.02951759737212576,0.009355842327545731
56,9781728215723,4.10,129471,12990,13760,719,58,237.24137931034483,0.05792565406976744,0.028761337209302323,0.010761010174418571
57,9780440000174,4.02,125374,16549,18490,958,65,284.46153846153845,0.048566035694970255,0.027498161168199028,0.009531855056787443
58,9781982108847,4.22,44773,5194,13725,634,53,258.9622641509434,0.06154440801457195,0.025573770491803278,0.017812437158469967
59,9781984819888,4.16,75757,8825,14236,651,52,273.7692307692308,0.05254284911491992,0.031171396459679684,0.010104839842652402
60,9780525559474,4.00,26962,3193,20996,1066,65,323.0153846153846,0.05398213945513432,0.029687273766431706,0.009571199276052591
61,9781984818355,3.66,74158,9867,17399,809,60,289.98333333333335,0.05116874533019139,0.02403689867233749,0.012252911086844074
62,9780316541619,3.42,5758,526,9651,531,80,120.6375,0.04300072531343902,0.03761268262356233,0.0008255413946741289
63,9780316420280,4.06,3355,314,10747,556,62,173.33870967741936,0.051064483111566014,0.040569461244998606,0.002921140783474457
64,9780802148537,4.02,8230,1097,24272,1018,58,418.48275862068965,0.055908042188529995,0.03436058009228741,0.01026496786420569
65,9780525539520,4.16,688,104,13214,649,63,209.74603174603175,0.04192523081580142,0.028151960042379295,0.00429095656122293
66,9780399590597,4.07,433,29,18593,811,55,338.05454545454546,0.05145033076964449,0.02958102511697951,0.008275426235680085
67,9781501133510,3.59,1072,80,23090,1106,78,296.02564102564105,0.06472156777825898,0.02516240796881767,0.01770813339107842
68,9780593199305,4.42,28159,3032,20402,1026,59,345.79661016949154,0.046515047544358396,0.04739731398882462,-0.0005952602686011153
69,9780399178955,3.76,47916,3726,14498,781,74,195.9189189189189,0.0639791695406263,0.034487515519381985,0.012770464891709183
70,9780593083086,4.29,761,90,11772,572,73,161.26027397260273,0.05900229357798165,0.02327556914712878,0.01408600067957865
71,9781501188817,3.73,482,31,18658,921,65,287.04615384615386,0.04915569728802658,0.03253296173223282,0.005789398649372883
72,9780385545938,3.79,13852,1905,10091,525,58,173.98275862068965,0.05329580814587256,0.034139332078089384,0.004462342681597449
73,9780525520597,3.65,22907,2373,14075,691,65,216.53846153846155,0.058269342806394314,0.020959147424511545,0.01626140674955598
74,9780451464415,4.22,23305,1940,20625,895,52,396.63461538461536,0.04761212121212121,0.03156363636363636,0.006953304242424217
75,9780593188064,4.21,201,27,12922,678,87,148.5287356321839,0.04968271165454264,0.03350874477635041,0.005622016715678669
76,9780316420327,3.93,6086,556,5213,314,71,73.4225352112676,0.05563015538077882,0.02915787454440821,0.011637272204105115
77,9780525541608,4.13,49709,7461,16488,690,59,279.45762711864404,0.05396027413876759,0.031419517224648225,0.008916933527413845
78,9781538748138,3.87,1729,334,8491,435,68,124.86764705882354,0.07184077258273466,0.026498645624779178,0.014211942056294845
79,9780062434029,3.90,6137,990,12854,563,70,183.62857142857143,0.0676832114516882,0.027773455733623775,0.015556993931850008
80,9780316420334,4.14,8590,709,7678,407,67,114.59701492537313,0.055613441000260486,0.03503516540765825,0.007249257619171641
81,9781538748145,3.95,58939,5330,16664,799,59,282.4406779661017,0.05676332213154105,0.02784445511281805,0.012116748679788765
82,9780385545969,4.29,6924,964,12314,593,57,216.03508771929825,0.055497320123436736,0.03881760597693682,0.0034707324995939524
83,9780062913265,3.77,32553,4575,20088,920,57,352.42105263157896,0.04478121266427718,0.037603942652329754,0.001850726802070882
84,9781524761332,3.43,126401,16546,18273,939,55,332.23636363636365,0.057638920812127174,0.030934493515022168,0.010543654572319825
85,9780525521143,3.69,133870,15586,14600,563,48,304.1666666666667,0.046095890410958906,0.027788082191780823,0.008058431506849305
86,9781982167288,3.98,6337,1423,7457,314,59,126.38983050847457,0.06137481560949445,0.020877028295561213,0.018639922220732158
87,9780399562488,4.29,332364,29107,13524,584,49,276.0,0.06716888494528246,0.023010647737355814,0.01966382727003849
88,9781538761465,4.15,2743,313,8598,458,59,145.72881355932202,0.04791812049313794,0.029658060013956735,0.006197359851128158
